lat,lon,reviews
40.75356,-73.98559,47
40.70935,-73.95342,197
40.80107,-73.94255,2
40.78778,-73.94759,251
40.69194,-73.97389,423
40.71880722045898,-73.9561767578125,12
40.68455584344908,-73.93963415175676,189
40.76724,-73.98664,58
40.68294,-73.95682,82
40.81562,-73.94674,3
40.72598,-73.97978,168
40.79918,-73.96248,4
40.80371,-73.95635,2
40.72967,-73.95352,173
40.881,-73.83511,57
40.68253,-73.94295,266
40.67634,-73.95143,46
40.67579,-73.95072,257
40.7106,-73.95178,56
40.70797,-73.94792,164
40.72296,-73.98383,316
40.74757,-73.94571,470
40.67946,-73.95417,81
40.73535,-73.95584,177
40.71211,-73.96397,63
40.74493,-73.99521,5
40.69121,-73.96804,33
40.72372723229208,-73.97625850509617,676
40.68028,-73.99328,67
40.72547,-73.98619,174
40.68088,-73.99102,250
40.71516,-73.96448,91
40.78846,-73.97459,39
40.72,-73.99487,248
40.72919,-73.95588,48
40.77743,-73.97691,37
40.77507,-73.93367,269
40.72364,-73.95013,3
40.71624,-73.994,424
40.695588790857855,-73.95461923691613,20
40.72281,-73.98501,301
40.8019,-73.93762,291
40.72289,-73.98028,53
40.76967,-73.94831,146
40.74261,-74.00353,251
40.73808,-73.98001,1
40.73917,-74.00207,68
40.71802,-73.95724,58
40.70967,-73.95922,164
40.79936,-73.96155,79
40.73777,-73.95366,72
40.68337,-73.96253,11
40.73756,-73.9535,11
40.73777,-73.95366,10
40.73777,-73.95366,2
40.72408,-73.98154,286
40.68433,-73.94469,83
40.68769,-73.91788,252
40.69132,-73.98573,5
40.73777,-73.95366,40
40.82782,-73.9473,3
40.74187,-74.00223,36
40.67747,-74.00146,317
40.82825,-73.95138,214
40.67115,-73.98026,93
40.684569430603325,-73.93840021354636,173
40.6736,-73.9551,178
40.68513,-73.96648,11
40.75077,-73.99657,18
40.85433,-73.9324,150
40.66952,-73.99201,127
40.71116,-73.95484,36
40.73778,-73.95366,8
40.693047,-73.971985,284
40.71649,-73.94865,29
40.8102731,-73.9431546,195
40.6686,-73.98723,479
40.72421,-73.98509,25
40.77827,-73.94669,19
40.68288,-73.95646,79
40.68292,-73.96381,506
40.7672,-73.98464,75
40.73405,-74.00281,30
40.6327,-73.93184,4
40.68818,-73.96383,637
40.68513,-73.96648,91
40.71512,-73.95899,301
40.58603,-73.8145,16
40.82772,-73.95284,478
40.68615,-73.96769,12
40.72741,-73.95466,353
40.8069,-73.95372,1
40.69132,-73.97306,178
